Name,Fibered,Crossing Number,Bridge Index,Braid Index,Thurston-Bennequin Number,Determinant
3_1,Y,3,2,2,[-6][1],3
4_1,Y,4,2,3,[-3][-3],5
5_1,Y,5,2,2,[-10][3],5
5_2,N,5,2,3,[-8][1],7
6_1,N,6,2,4,[-5][-3],9
6_2,Y,6,2,3,[-7][-1],11
6_3,Y,6,2,3,[-4][-4],13
7_1,Y,7,2,2,[-14][5],7
7_2,N,7,2,4,[-10][1],11
7_3,N,7,2,3,[-12][3],13
7_4,N,7,2,4,[-10][1],15
7_5,N,7,2,3,[-12][3],17
7_6,Y,7,2,4,[-8][-1],19
7_7,Y,7,2,4,[-4][-5],21
8_1,N,8,2,5,[-7][-3],13
8_2,Y,8,2,3,[-11][1],17
8_3,N,8,2,5,[-5][-5],17
8_4,N,8,2,4,[-3][-7],19
8_5,Y,8,3,3,[-11][1],21
8_6,N,8,2,4,[-9][-1],23
8_7,Y,8,2,3,[-2][-8],23
8_8,N,8,2,4,[-4][-6],25
8_9,Y,8,2,3,[-5][-5],25
8_10,Y,8,3,3,[-2][-8],27
8_11,N,8,2,4,[-9][-1],27
8_12,Y,8,2,5,[-5][-5],29
8_13,N,8,2,4,[-4][-6],29
8_14,N,8,2,4,[-9][-1],31
8_15,N,8,3,4,[-13][3],33
8_16,Y,8,3,3,[-2][-8],35
8_17,Y,8,3,3,[-5][-5],37
8_18,Y,8,3,3,[-5][-5],45
8_19,Y,8,3,3,[-12][5],3
8_20,Y,8,3,3,[-2][-6],9
8_21,Y,8,3,3,[-9][1],15
9_1,Y,9,2,2,[-18][7],9
9_2,N,9,2,5,[-12][1],15
9_3,N,9,2,3,[-16][5],19
9_4,N,9,2,4,[-14][3],21
9_5,N,9,2,5,[-12][1],23
9_6,N,9,2,3,[-16][5],27
9_7,N,9,2,4,[-14][3],29
9_8,N,9,2,5,[-8][-3],31
9_9,N,9,2,3,[-16][5],31
9_10,N,9,2,4,[-14][3],33
9_11,Y,9,2,4,[1][-12],33
9_12,N,9,2,5,[-10][-1],35
9_13,N,9,2,4,[-14][3],37
9_14,N,9,2,5,[-4][-7],37
9_15,N,9,2,5,[-1][-10],39
